央视频道,#genre#
CCTV-13高清,http://171.217.146.166:8888/rtp/239.93.0.66:5140
CCTV-13高清,http://221.237.33.33:4022/rtp/239.93.0.66:5140
CCTV-13高清,http://110.191.246.230:8888/rtp/239.93.0.66:5140
CCTV-2高清,http://221.237.33.33:4022/rtp/239.93.1.23:6000
CCTV-2高清,http://118.114.168.57:8888/rtp/239.93.1.23:6000
CCTV-2高清,http://118.122.103.228:4022/rtp/239.93.1.23:6000
CCTV-1高清,http://118.114.168.57:8888/rtp/239.93.0.184:5140
CCTV-1高清,http://171.217.146.166:8888/rtp/239.93.0.184:5140
CCTV-1高清,http://221.237.33.33:4022/rtp/239.93.0.184:5140
CCTV-3高清,http://118.114.168.57:8888/rtp/239.93.1.11:2223
CCTV-3高清,http://171.217.146.166:8888/rtp/239.93.1.11:2223
CCTV-3高清,http://110.191.246.230:8888/rtp/239.93.1.11:2223
CCTV-4高清,http://118.114.168.57:8888/rtp/239.93.1.105:5140
CCTV-4高清,http://118.122.103.228:4022/rtp/239.93.1.105:5140
CCTV-4高清,http://171.217.146.166:8888/rtp/239.93.1.105:5140
CCTV-5高清,http://171.217.146.166:8888/rtp/239.93.1.12:2224
CCTV-5高清,http://118.122.103.228:4022/rtp/239.93.1.12:2224
CCTV-5高清,http://221.237.33.33:4022/rtp/239.93.1.12:2224
CCTV-5＋高清,http://118.114.168.57:8888/rtp/239.93.1.36:8004
CCTV-5＋高清,http://110.191.246.230:8888/rtp/239.93.1.36:8004
CCTV-5＋高清,http://171.217.146.166:8888/rtp/239.93.1.36:8004
CCTV-6高清,http://118.114.168.57:8888/rtp/239.93.1.13:2226
CCTV-6高清,http://110.191.246.230:8888/rtp/239.93.1.13:2226
CCTV-6高清,http://182.149.86.235:58888/rtp/239.93.1.13:2226
CCTV-7高清,http://118.114.168.57:8888/rtp/239.93.1.67:5140
CCTV-7高清,http://110.191.246.230:8888/rtp/239.93.1.67:5140
CCTV-7高清,http://182.148.142.182:8888/rtp/239.93.1.67:5140
CCTV-8高清,http://118.114.168.57:8888/rtp/239.93.42.39:5140
CCTV-8高清,http://171.88.37.49:4022/rtp/239.93.42.39:5140
CCTV-8高清,http://110.191.246.230:8888/rtp/239.93.42.39:5140
CCTV-9高清,http://118.114.168.57:8888/rtp/239.93.1.24:5140
CCTV-9高清,http://118.122.103.228:4022/rtp/239.93.1.24:5140
CCTV-9高清,http://110.191.246.230:8888/rtp/239.93.1.24:5140
CCTV-10高清,http://110.191.246.230:8888/rtp/239.93.1.28:5140
CCTV-10高清,http://118.122.103.228:4022/rtp/239.93.1.28:5140
CCTV-10高清,http://118.114.168.57:8888/rtp/239.93.1.28:5140
CCTV-11高清,http://171.217.146.166:8888/rtp/239.93.0.102:5140
CCTV-11高清,http://110.191.246.230:8888/rtp/239.93.0.102:5140
CCTV-11高清,http://118.114.168.57:8888/rtp/239.93.0.102:5140
CCTV-12高清,http://110.191.246.230:8888/rtp/239.93.1.30:8124
CCTV-12高清,http://118.114.168.57:8888/rtp/239.93.1.30:8124
CCTV-12高清,http://118.122.103.228:4022/rtp/239.93.1.30:8124
CCTV-少儿高清,http://110.191.246.230:8888/rtp/239.93.1.29:6000
CCTV-少儿高清,http://118.122.103.228:4022/rtp/239.93.1.29:6000
CCTV-少儿高清,http://118.114.168.57:8888/rtp/239.93.1.29:6000
CCTV-15高清,http://110.191.246.230:8888/rtp/239.93.0.103:5140
CCTV-15高清,http://118.114.168.57:8888/rtp/239.93.0.103:5140
CCTV-15高清,http://182.148.142.182:8888/rtp/239.93.0.103:5140
CCTV-17高清,http://171.217.146.166:8888/rtp/239.93.0.92:5140
CCTV-17高清,http://118.114.168.57:8888/rtp/239.93.0.92:5140
CCTV-17高清,http://110.191.246.230:8888/rtp/239.93.0.92:5140
CCTV16 4K超高清,http://61.188.254.120:9527/rtp/239.93.42.54:5140
CCTV16 4K超高清,http://110.191.246.230:8888/rtp/239.93.42.54:5140
CCTV16 4K超高清,http://118.122.103.228:4022/rtp/239.93.42.54:5140

卫视频道,#genre#
四川卫视高清,http://110.191.246.230:8888/rtp/239.93.0.20:1235
四川卫视高清,http://61.188.254.15:9527/rtp/239.93.0.20:1235
四川卫视高清,http://171.217.146.166:8888/rtp/239.93.0.20:1235
湖南卫视高清,http://171.217.146.166:8888/rtp/239.93.0.88:5140
湖南卫视高清,http://110.191.246.230:8888/rtp/239.93.0.88:5140
湖南卫视高清,http://118.114.168.57:8888/rtp/239.93.0.88:5140
江苏卫视高清,http://110.191.246.230:8888/rtp/239.93.0.89:5140
江苏卫视高清,http://171.217.146.166:8888/rtp/239.93.0.89:5140
江苏卫视高清,http://118.114.168.57:8888/rtp/239.93.0.89:5140
浙江卫视高清,http://171.217.146.166:8888/rtp/239.93.0.124:5140
浙江卫视高清,http://171.88.37.49:4022/rtp/239.93.0.124:5140
浙江卫视高清,http://118.114.168.57:8888/rtp/239.93.0.124:5140
东方卫视高清,http://171.217.146.166:8888/rtp/239.93.0.123:5140
东方卫视高清,http://118.114.168.57:8888/rtp/239.93.0.123:5140
东方卫视高清,http://110.191.246.230:8888/rtp/239.93.0.123:5140
北京卫视高清,http://118.114.168.57:8888/rtp/239.93.0.180:5140
北京卫视高清,http://118.122.103.228:4022/rtp/239.93.0.180:5140
北京卫视高清,http://110.191.246.230:8888/rtp/239.93.0.180:5140
深圳卫视高清,http://118.114.168.57:8888/rtp/239.93.0.182:5140
深圳卫视高清,http://171.217.146.166:8888/rtp/239.93.0.182:5140
深圳卫视高清,http://171.88.37.49:4022/rtp/239.93.0.182:5140
广东卫视高清,http://110.191.246.230:8888/rtp/239.93.0.181:5140
广东卫视高清,http://118.114.168.57:8888/rtp/239.93.0.181:5140
广东卫视高清,http://171.217.146.166:8888/rtp/239.93.0.181:5140
